rating_score,critic_likes,critic_comments,user_trialist,user_subscriber,user_eligible_for_trial,user_has_payment_method,movie_release_year,movie_title_language,movie_popularity,total_number_of_lists,total_list_comments,total_list_followers,total_list_movie_number
4.0,0,0,1,1,0,0,2008.0,en,77,16,0,26,906
4.0,0,0,0,0,1,1,2008.0,en,77,5,0,1,47
3.0,0,0,0,0,1,0,2008.0,en,77,15,2,155,611
2.0,0,0,0,1,0,1,2008.0,en,77,1,0,0,5
4.0,1,0,0,1,0,1,2008.0,en,77,13,9,130,1424
5.0,0,0,0,0,1,0,2008.0,en,77,2,0,3,85
5.0,0,0,0,1,0,1,2008.0,en,77,1,0,0,2
4.0,0,0,0,0,1,0,2008.0,en,77,2,3,4,59
4.0,0,0,0,0,1,0,2008.0,en,77,1,0,0,16
2.0,0,0,0,0,1,1,2008.0,en,77,1,2,0,5
4.0,0,0,0,0,1,1,2008.0,en,77,1,2,11,40
3.0,0,0,0,0,1,1,2008.0,en,77,2,1,11,160
3.0,0,0,0,0,1,0,2008.0,en,77,2,0,1,19
4.0,0,0,0,0,1,0,2008.0,en,77,2,0,17,55
4.0,0,0,0,0,1,1,2008.0,en,77,2,0,0,6
4.0,0,0,1,1,0,1,2008.0,en,77,1,0,27,111
5.0,0,0,0,0,1,0,2008.0,en,77,1,0,20,74
4.0,0,0,0,0,1,0,2008.0,en,77,7,0,3,335
3.0,0,0,0,0,1,0,2008.0,en,77,13,30,1145,2890
4.0,0,0,0,0,1,1,2008.0,en,77,1,1,10,28
3.0,0,0,0,0,1,1,2008.0,en,77,10,3,64,532
4.0,0,0,0,0,1,1,2008.0,en,77,9,0,3,768
4.0,0,0,0,0,1,0,2008.0,en,77,32,5,30,2271
4.0,0,0,0,0,1,0,2008.0,en,77,4,30,209,88
4.0,0,0,0,1,0,1,2008.0,en,77,23,7,60,820
4.0,0,0,0,0,1,1,2008.0,en,77,4,0,36,170
4.0,0,0,0,0,1,1,2008.0,en,77,4,1,27,531
3.0,0,0,0,0,1,1,2008.0,en,77,1,0,5,60
4.0,0,0,0,0,1,0,2008.0,en,77,1,0,0,30
4.0,0,0,0,0,1,1,2008.0,en,77,1,0,0,10
3.0,0,0,0,0,1,1,2008.0,en,77,1,1,2,10
3.0,0,0,0,0,1,0,2008.0,en,77,10,0,1,388
5.0,2,0,0,0,1,1,2008.0,en,77,4,0,2,12
4.0,0,0,0,0,1,0,2008.0,en,77,7,2,40,670
4.0,0,0,0,0,1,0,2008.0,en,77,1,0,3,8
3.0,0,0,0,0,1,0,2008.0,en,77,5,0,7,187
4.0,0,0,0,0,1,0,2008.0,en,77,1,0,0,10
4.0,0,0,0,0,1,1,2008.0,en,77,23,11,189,2678
4.0,0,0,0,0,1,0,2008.0,en,77,4,0,7,262
5.0,0,0,0,0,1,0,2008.0,en,77,4,9,416,1274
4.0,0,0,0,0,1,1,2008.0,en,77,24,7,3,472
4.0,0,0,0,0,1,0,2008.0,en,77,33,18,512,1574
4.0,0,0,0,0,1,0,2008.0,en,77,1,0,5,25
5.0,0,0,0,1,0,1,2008.0,en,77,1,1,1,2
3.0,0,0,0,0,1,0,2008.0,en,77,5,6,99,259
4.0,0,0,0,0,1,0,2008.0,en,77,6,2,9,70
3.0,0,0,0,1,0,1,2008.0,en,77,7,1,13,778
3.0,0,0,0,0,1,0,2008.0,en,77,70,32,553,3793
4.0,0,0,1,1,0,1,2008.0,en,77,14,2,119,607
3.0,0,0,1,1,0,0,2008.0,en,77,23,95,1079,3005
3.0,0,0,0,0,1,0,2008.0,en,77,2,0,0,6
3.0,0,0,0,0,1,0,2008.0,en,77,16,0,64,816
4.0,0,0,0,0,1,0,2008.0,en,77,2,1,0,33
5.0,2,0,0,1,0,1,2008.0,en,77,3,0,3,101
3.0,0,0,0,0,1,0,2008.0,en,77,3,4,32,617
4.0,0,0,0,0,1,0,2008.0,en,77,8,5,9,463
4.0,1,0,0,0,1,1,2008.0,en,77,8,1,3,200
4.0,0,0,0,0,1,1,2008.0,en,77,9,3,6,74
5.0,0,0,0,0,1,1,2008.0,en,77,2,0,9,29
2.0,0,0,0,0,1,0,2008.0,en,77,3,1,6,112
4.0,0,0,0,0,1,0,2008.0,en,77,1,9,509,132
3.0,0,0,0,1,0,1,2008.0,en,77,8,0,5,85
4.0,0,0,0,1,0,1,2008.0,en,77,8,5,8,1087
4.0,0,0,0,0,1,1,2008.0,en,77,1,0,0,11
2.0,0,0,0,0,1,0,2008.0,en,77,4,7,54,85
3.0,0,0,1,1,0,1,2008.0,en,77,2,0,0,45
4.0,0,0,1,1,0,0,2008.0,en,77,69,30,1603,17689
4.0,0,0,0,0,1,0,2008.0,en,77,9,2,14,174
3.0,0,0,0,0,1,0,2008.0,en,77,5,28,97,198
4.0,0,0,0,0,1,0,2008.0,en,77,1,2,1,10
5.0,0,0,0,0,1,0,2008.0,en,77,3,9,2,26
2.0,0,0,0,0,1,0,2008.0,en,77,1,0,0,37
1.0,0,0,0,0,1,1,2008.0,en,77,1,0,0,16
4.0,0,0,0,0,1,1,2008.0,en,77,7,0,2,215
5.0,0,0,0,0,1,0,2008.0,en,77,31,3,18,691
2.0,0,0,1,1,0,0,2008.0,en,77,22,22,116,1702
2.0,0,0,0,0,1,0,2008.0,en,77,1,0,0,1
4.0,0,0,0,0,1,0,2008.0,en,77,1,0,0,3
1.0,0,0,0,0,1,1,2008.0,en,77,4,2,4,77
4.0,0,0,0,0,1,1,2008.0,en,77,21,63,687,1899
3.0,0,0,0,1,0,1,2008.0,en,77,2,0,0,20
5.0,0,0,0,0,1,0,2008.0,en,77,11,9,56,364
3.0,0,0,0,0,1,1,2008.0,en,77,1,0,0,2
3.0,0,0,0,0,0,1,2008.0,en,77,3,161,4144,1586
3.0,0,0,0,0,1,0,2008.0,en,77,23,66,552,1665
4.0,0,0,0,0,1,0,2008.0,en,77,2,0,1,209
5.0,0,0,0,1,0,1,2008.0,en,77,4,2,1,210
3.0,0,0,0,0,1,0,2008.0,en,77,1,4,0,21
3.0,0,0,0,0,1,0,2008.0,en,77,43,12,57,1205
4.0,0,0,0,0,1,0,2008.0,en,77,1,0,0,1
2.0,0,0,1,1,0,1,2006.0,en,3,1,0,0,0
3.0,0,0,0,0,1,1,2006.0,en,3,18,257,1722,606
3.0,0,0,0,0,1,0,2006.0,en,3,1,2,2,9
3.0,0,0,0,0,1,0,2006.0,en,3,58,332,2896,19197
2.0,0,0,0,0,1,0,1949.0,en,3,32,19,79,461
4.0,0,0,0,1,0,1,1949.0,en,3,3,0,11,317
3.0,0,0,1,1,0,0,1949.0,en,3,1,0,0,4
2.0,0,0,0,0,1,0,1949.0,en,3,4,0,24,4728
3.0,0,0,1,1,0,0,1949.0,en,3,22,22,116,1702
4.0,0,0,0,0,1,1,1949.0,en,3,4,0,2,4
2.0,4,0,0,1,0,1,1949.0,en,3,3,0,3,101
4.0,0,0,1,1,0,0,1949.0,en,3,69,30,1603,17689
5.0,0,0,0,0,1,1,1949.0,en,3,2,1,0,48
3.0,0,0,0,0,1,1,1949.0,en,3,1,0,25,51
4.0,0,0,1,1,0,0,1944.0,en,12,5,7,56,245
1.0,0,0,1,1,0,0,1944.0,en,12,1,0,0,5
5.0,1,0,1,1,0,1,1944.0,en,12,1,0,0,1
5.0,6,0,1,1,0,0,1944.0,en,12,57,68,1632,14542
3.0,0,0,0,0,1,1,1944.0,en,12,1,0,0,21
3.0,0,0,0,1,0,1,1944.0,en,12,49,0,11,3237
4.0,0,0,0,0,1,0,1944.0,en,12,9,4,28,1380
4.0,0,0,0,0,1,0,1944.0,en,12,32,19,79,461
4.0,0,0,0,0,1,0,1944.0,en,12,1,0,0,16
5.0,0,0,0,0,1,0,1944.0,en,12,18,3,21,1021
4.0,0,0,0,1,0,1,1944.0,en,12,2,1,1,10
3.0,0,0,0,0,1,1,1944.0,en,12,5,1,3,246
4.0,0,0,0,1,0,1,1944.0,en,12,2,0,0,130
4.0,0,0,0,0,1,0,1944.0,en,12,3,7,98,127
4.0,1,0,0,0,1,1,1944.0,en,12,1,16,36,41
2.0,0,0,0,0,1,0,1944.0,en,12,330,3438,46415,34805
5.0,0,0,0,0,1,0,1944.0,en,12,19,8,109,2911
4.0,0,0,0,0,1,0,1944.0,en,12,15,32,450,887
3.0,0,0,1,1,0,0,1944.0,en,12,113,192,1833,8179
3.0,0,0,0,0,1,0,1944.0,en,12,15,12,42,3173
3.0,0,0,0,0,1,0,1944.0,en,12,2,0,5,253
5.0,0,0,0,1,0,1,1968.0,en,35,5,0,0,895
4.0,0,0,0,0,1,1,1968.0,en,35,3,0,1,144
4.0,0,0,0,0,1,0,1968.0,en,35,5,0,2,553
4.0,0,0,0,1,0,1,1968.0,en,35,3,0,0,18
4.0,0,0,0,1,0,1,1968.0,en,35,17,2,75,3213
4.0,0,0,0,0,1,0,1968.0,en,35,2,1,94,356
3.0,0,0,0,1,0,1,1968.0,en,35,15,0,2,3208
4.0,0,0,1,1,0,0,1968.0,en,35,23,35,463,2839
4.0,0,0,0,1,0,1,1968.0,en,35,1,14,50,534
5.0,0,0,0,0,1,0,1968.0,en,35,2,0,0,94
3.0,0,0,1,1,0,0,1968.0,en,35,23,285,96,589
4.0,0,0,0,0,1,1,1968.0,en,35,36,15,46,726
3.0,0,0,0,0,1,0,1968.0,en,35,1,0,0,63
5.0,1,0,1,1,0,0,1968.0,en,35,32,13,299,1152
3.0,0,0,0,0,1,1,1968.0,en,35,7,16,126,1298
4.0,0,0,0,1,0,1,1968.0,en,35,1,0,0,43
4.0,0,0,0,0,1,0,1968.0,en,35,4,0,24,4728
4.0,0,0,0,1,0,1,1968.0,en,35,1,0,0,25
5.0,0,0,0,0,1,0,1968.0,en,35,1,0,6,365
4.0,0,0,0,0,1,0,1968.0,en,35,1,3,21,55
4.0,0,0,0,0,0,1,1968.0,en,35,5,0,0,84
4.0,0,0,0,0,1,0,1968.0,en,35,5,0,1,354
4.0,0,0,0,1,0,1,1968.0,en,35,2,1,0,170
3.0,0,0,0,0,1,1,1968.0,en,35,5,1,303,419
5.0,0,0,0,0,1,0,1968.0,en,35,3,0,1,238
3.0,0,0,1,1,0,0,1968.0,en,35,16,4,204,5052
3.0,0,0,0,0,1,1,1968.0,en,35,3,9,302,291
5.0,0,0,0,0,1,0,1968.0,en,35,1,0,2,150
4.0,0,0,1,1,0,0,1968.0,en,35,18,81,567,4746
4.0,0,0,0,0,1,0,1968.0,en,35,3,0,3,190
5.0,0,0,0,0,1,0,1968.0,en,35,6,5,47,606
4.0,0,0,0,0,1,1,1968.0,en,35,9,0,6,455
4.0,0,0,0,0,1,0,1968.0,en,35,3,7,4,83
4.0,0,0,0,0,1,0,1968.0,en,35,10,1,2,140
4.0,0,0,0,0,1,0,1968.0,en,35,64,1,4,609
4.0,0,0,0,1,0,1,1968.0,en,35,1,2,23,20
4.0,0,0,0,0,1,0,1968.0,en,35,2,0,0,13
5.0,0,0,0,1,0,1,1968.0,en,35,7,2,7,502
4.0,0,0,0,0,1,1,1968.0,en,35,5,0,2,403
5.0,0,0,0,0,1,1,1968.0,en,35,2,0,2,44
3.0,0,0,0,0,1,0,1968.0,en,35,10,0,2,100
4.0,0,0,0,0,1,0,1968.0,en,35,54,10,18,2766
5.0,0,0,1,1,0,0,1968.0,en,35,1,0,2,56
5.0,0,0,0,0,1,1,1968.0,en,35,2,1,13,210
3.0,0,0,0,0,1,0,1968.0,en,35,2,0,1,150
4.0,0,0,0,0,1,0,1968.0,en,35,5,62,5304,3247
5.0,0,0,0,0,1,1,1968.0,en,35,1,7,147,596
3.0,0,0,0,0,1,1,1968.0,en,35,2,1,0,48
4.0,0,0,0,1,0,1,1968.0,en,35,3,0,3,112
5.0,0,0,0,0,1,0,1968.0,en,35,13,1,15,701
5.0,0,0,0,0,1,1,1968.0,en,35,6,3,46,101
4.0,0,0,1,1,0,1,1968.0,en,35,13,25,422,1176
4.0,0,0,0,0,1,1,1968.0,en,35,14,27,281,282
4.0,0,0,0,0,1,0,1968.0,en,35,1,0,4,19
5.0,0,0,0,0,1,0,1968.0,en,35,4,2,10,375
4.0,0,0,0,0,1,0,1968.0,en,35,4,1,132,189
2.0,0,0,0,1,0,1,1968.0,en,35,3,0,1,59
4.0,0,0,0,0,1,0,1968.0,en,35,5,1,14,119
3.0,0,0,0,1,0,1,1968.0,en,35,1,1,0,100
4.0,0,0,0,1,0,1,1968.0,en,35,1,5,0,100
4.0,0,0,1,1,0,1,1968.0,en,35,12,1,20,230
4.0,0,0,0,0,1,0,1968.0,en,35,1,4,0,21
4.0,0,0,0,1,0,1,1968.0,en,35,3,0,3,101
4.0,0,0,1,1,0,1,1968.0,en,35,1,0,1,775
4.0,0,0,0,0,1,1,1968.0,en,35,1,0,0,10
4.0,0,0,0,0,1,0,1968.0,en,35,4,55,2460,206
5.0,0,0,0,0,1,0,1968.0,en,35,1,0,1,12
5.0,0,0,0,0,1,1,1968.0,en,35,1,0,1,10
4.0,0,0,0,0,1,0,1968.0,en,35,2,5,98,1895
5.0,0,0,0,0,1,0,1968.0,en,35,4,0,0,1032
5.0,0,0,0,0,1,1,1968.0,en,35,2,0,0,54
4.0,0,0,0,1,0,1,1968.0,en,35,2,0,1,47
4.0,0,0,0,0,0,1,1968.0,en,35,3,161,4144,1586
3.0,0,0,0,0,1,0,1968.0,en,35,2,0,0,40
4.0,0,0,0,1,0,1,1968.0,en,35,14,4,19,139
4.0,0,0,0,0,1,0,1968.0,en,35,2,1,2,14
4.0,0,0,0,0,0,0,1968.0,en,35,1,1,8,55
3.0,0,0,0,0,1,1,1968.0,en,35,2,7,178,53
4.0,0,0,0,0,1,1,1968.0,en,35,6,67,398,364
4.0,0,0,0,1,0,1,1968.0,en,35,23,9,17,364
4.0,0,0,0,0,1,0,1968.0,en,35,3,1,6,112
4.0,0,0,0,0,1,0,1968.0,en,35,3,87,1943,239
4.0,0,0,0,0,1,0,1968.0,en,35,5,6,22,382
3.0,0,0,0,0,1,1,1968.0,en,35,13,94,1047,3624
4.0,1,0,0,0,1,0,1968.0,en,35,2,5,50,188
2.0,0,0,0,0,1,0,1968.0,en,35,2,6,53,174
4.0,0,0,0,0,1,0,1968.0,en,35,21,221,2820,1300
2.0,0,0,0,0,1,1,1968.0,en,35,64,22,204,3239
5.0,0,0,0,0,1,0,1968.0,en,35,7,33,212,279
4.0,0,0,0,0,1,0,1968.0,en,35,330,3438,46415,34805
3.0,0,0,0,0,1,0,1962.0,en,1936,1,0,2,29
4.0,0,0,0,1,0,1,1962.0,en,1936,1,0,0,76
4.0,0,0,0,0,1,0,1962.0,en,1936,9,2,14,174
5.0,0,0,0,1,0,1,1962.0,en,1936,1,0,0,6
4.0,0,0,1,1,0,0,1962.0,en,1936,1,0,1,31
2.0,0,0,0,0,1,0,1962.0,en,1936,1,0,2,28
5.0,0,0,0,1,0,1,1962.0,en,1936,16,0,1,691
4.0,0,0,0,0,1,0,1962.0,en,1936,1,0,1,468
3.0,0,0,0,0,1,0,1962.0,en,1936,9,19,86,382
4.0,1,0,0,1,0,1,1962.0,en,1936,6,0,0,138
4.0,0,0,0,1,0,1,1962.0,en,1936,1,0,0,6
5.0,0,0,0,0,1,1,1962.0,en,1936,1,0,73,102
4.0,0,0,0,0,0,1,1962.0,en,1936,3,0,0,131
5.0,0,0,0,0,1,0,1962.0,en,1936,17,0,3,316
4.0,0,0,1,1,0,0,1962.0,en,1936,3,0,0,195
4.0,0,0,0,1,0,1,1962.0,en,1936,14,0,0,488
5.0,0,0,1,1,0,0,1962.0,en,1936,23,0,4,219
4.0,0,0,0,1,0,1,1962.0,en,1936,4,1,2,120
4.0,0,0,0,1,0,0,1962.0,en,1936,3,0,0,52
5.0,0,0,0,1,0,1,1962.0,en,1936,1,0,0,159
3.0,1,0,1,1,0,1,1962.0,en,1936,2,0,8,231
3.0,0,0,0,0,1,1,1962.0,en,1936,64,6,385,5315
5.0,0,0,0,1,0,1,1962.0,en,1936,2,0,0,208
4.0,0,0,0,0,1,0,1962.0,en,1936,1,0,0,168
4.0,0,0,0,1,0,1,1962.0,en,1936,3,0,0,173
4.0,0,0,1,1,0,0,1962.0,en,1936,3,0,0,189
5.0,0,0,0,0,1,0,1962.0,en,1936,2,0,0,255
5.0,0,0,1,1,0,0,1962.0,en,1936,12,0,16,363
4.0,0,0,1,1,0,0,1962.0,en,1936,22,1,21,1361
5.0,0,0,0,1,0,0,1962.0,en,1936,1,0,0,4
4.0,0,0,0,0,0,1,1962.0,en,1936,3,0,2,236
5.0,0,0,1,1,0,1,1962.0,en,1936,2,0,0,33
4.0,0,0,0,0,1,0,1962.0,en,1936,14,2,26,356
4.0,0,0,0,1,0,1,1962.0,en,1936,2,0,0,49
5.0,1,0,0,0,1,0,1962.0,en,1936,2,3,4,560
4.0,0,0,0,0,1,1,1962.0,en,1936,308,310,21,1400
5.0,0,0,1,1,0,1,1962.0,en,1936,1,0,0,2
4.0,0,0,0,1,0,1,1962.0,en,1936,3,0,0,1336
5.0,0,0,0,0,0,1,1962.0,en,1936,1,0,0,34
4.0,0,0,1,1,0,1,1962.0,en,1936,1,0,0,95
3.0,0,0,0,0,1,0,1962.0,en,1936,5,1,5,436
5.0,0,0,0,0,0,1,1962.0,en,1936,1,0,0,30
5.0,0,0,1,1,0,0,1962.0,en,1936,3,0,1,91
5.0,0,0,0,0,1,0,1962.0,en,1936,18,0,32,4040
5.0,0,0,0,0,1,0,1962.0,en,1936,4,0,1,176
4.0,0,0,0,0,1,0,1962.0,en,1936,1,3,2,70
3.0,0,0,1,1,0,0,1962.0,en,1936,2,0,0,977
4.0,0,0,1,1,0,0,1962.0,en,1936,1,0,0,0
5.0,0,0,0,0,0,0,1962.0,en,1936,1,0,0,7
5.0,0,0,0,1,0,1,1962.0,en,1936,1,0,0,66
5.0,0,0,0,0,1,0,1962.0,en,1936,1,0,1,33
5.0,1,0,0,0,0,1,1962.0,en,1936,7,0,0,363
1.0,0,0,1,1,0,1,1962.0,en,1936,48,0,3,518
3.0,0,0,0,0,1,1,1962.0,en,1936,1,22,42,758
5.0,0,0,0,1,0,1,1962.0,en,1936,2,0,0,259
